Date,Open,Close,High,Volume
2021-11-23,4678.47,4690.7,4699.39,4277590000.0
2021-11-22,4712.0,4682.93,4743.83,4441100000.0
2021-11-19,4708.43,4697.95,4717.75,4253180000.0
2021-11-18,4700.72,4704.54,4708.79,4226410000.0
2021-11-17,4701.5,4688.66,4701.5,3969070000.0
2021-11-16,4679.41,4700.89,4714.95,3972640000.0
2021-11-15,4689.29,4682.79,4697.41,3488410000.0
2021-11-12,4655.24,4682.85,4688.47,3728600000.0
2021-11-11,4659.39,4649.27,4664.54,3926870000.0
2021-11-10,4670.25,4646.7,4684.85,4503720000.0
2021-11-09,4707.25,4685.25,4708.52,4117080000.0
2021-11-08,4701.47,4701.7,4714.91,4269710000.0
2021-11-05,4699.25,4697.52,4718.5,4467180000.0
2021-11-04,4662.93,4680.06,4683.0,4462300000.0
2021-11-03,4630.64,4660.56,4663.45,4319660000.0
2021-11-02,4613.33,4630.64,4635.14,3975250000.0
2021-11-01,4610.62,4613.66,4620.33,3971540000.0
2021-10-29,4572.87,4605.37,4608.08,4510200000.0
2021-10-28,4562.83,4596.41,4597.54,4132950000.0
2021-10-27,4580.22,4551.68,4584.56,4226050000.0
2021-10-26,4578.68,4574.79,4598.52,3879740000.0
2021-10-25,4553.68,4566.47,4572.62,3899400000.0
2021-10-22,4546.12,4544.89,4559.66,3758220000.0
2021-10-21,4532.24,4549.77,4551.43,3822330000.0
2021-10-20,4524.41,4536.18,4540.87,3670760000.0
2021-10-19,4497.33,4519.62,4520.39,3459130000.0
2021-10-18,4463.72,4486.45,4488.75,3662010000.0
2021-10-15,4447.68,4471.37,4475.81,3819380000.0
2021-10-14,4386.75,4438.25,4439.72,3598280000.0
2021-10-13,4358.0,4363.79,4372.87,3620070000.0
2021-10-12,4368.31,4350.64,4374.89,3558450000.0
2021-10-11,4385.43,4361.18,4415.87,3281970000.0
2021-10-08,4406.5,4391.33,4412.02,3280160000.0
2021-10-07,4383.72,4399.75,4429.97,3843740000.0
2021-10-06,4319.56,4363.54,4365.56,4009630000.0
2021-10-05,4309.87,4345.72,4369.22,3902890000.0
2021-10-04,4348.83,4300.45,4355.5,4307870000.0
2021-10-01,4317.16,4357.04,4375.18,4010370000.0
2021-09-30,4370.66,4307.54,4382.54,4448140000.0
2021-09-29,4362.41,4359.45,4385.56,3712660000.0
2021-09-28,4419.54,4352.62,4419.54,4416550000.0
2021-09-27,4442.12,4443.1,4457.29,4058650000.0
2021-09-24,4438.04,4455.47,4463.12,3384290000.0
2021-09-23,4406.75,4448.97,4465.39,3916350000.0
2021-09-22,4367.43,4395.64,4416.75,3939170000.0
2021-09-21,4374.45,4354.18,4394.87,3920920000.0
2021-09-20,4402.95,4357.72,4402.95,4898070000.0
2021-09-17,4469.74,4432.99,4471.52,7289530000.0
2021-09-16,4477.08,4473.75,4485.87,3984560000.0
2021-09-15,4447.49,4480.7,4486.87,4032020000.0
2021-09-14,4479.33,4443.04,4485.68,3670460000.0
2021-09-13,4474.81,4468.72,4492.99,3914220000.0
2021-09-10,4506.91,4458.58,4520.47,3623180000.0
2021-09-09,4513.02,4493.27,4529.89,3735390000.0
2021-09-08,4518.08,4514.06,4521.79,3750880000.0
2021-09-07,4535.37,4520.02,4535.37,3822960000.0
2021-09-03,4532.41,4535.43,4541.45,3217530000.0
2021-09-02,4534.47,4536.95,4545.85,3735990000.0
2021-09-01,4528.79,4524.08,4537.1,4057340000.0
2021-08-31,4529.75,4522.68,4531.39,4290710000.0
2021-08-30,4513.75,4528.79,4537.35,3168660000.0
2021-08-27,4474.1,4509.37,4513.33,3331200000.0
2021-08-26,4493.75,4470.0,4495.89,3263980000.0
2021-08-25,4490.45,4496.18,4501.7,3444700000.0
2021-08-24,4484.39,4486.22,4492.81,3979220000.0
2021-08-23,4450.29,4479.52,4489.87,3576530000.0
2021-08-20,4410.56,4441.66,4444.35,3652610000.0
