,Date,Open,Close,High,Volume,aggregate_sentiment_score,Movement,Momentum,lagged_sentiment_score,rolling_sentiment_score,log_return,conditional_volatility,volatility_shocks,lagged_volatility_1,lagged_volatility_2,lagged_volatility_3
2174,2014-03-17,1842.81,1858.82,1862.3,2860490000.0,-0.01,1,17.689999999999827,-0.48,-0.03,-0.007199038346668906,0.8386830779935195,-0.8583741028723287,0.8520022803687333,0.8912051494191573,0.8844663928381804
2175,2014-03-14,1845.06,1841.13,1852.43,3285460000.0,-0.48,0,-5.199999999999818,0.42,-0.1385714285714286,-0.009562364245916844,0.8210262673280883,-1.1646843257568582,0.8386830779935195,0.8520022803687333,0.8912051494191573
2176,2014-03-13,1869.06,1846.33,1874.4,3670990000.0,0.42,0,-31.710000000000036,-0.08,-0.0771428571428571,0.0028203714464413187,0.8433897515163754,0.33440902517138993,0.8210262673280883,0.8386830779935195,0.8520022803687333
2177,2014-03-07,1878.52,1878.04,1883.56,3564740000.0,-0.08,1,1.009999999999991,-0.12,-0.0871428571428571,0.017028794812576357,0.7947687648902001,2.142609972213609,0.8433897515163754,0.8210262673280883,0.8386830779935195
2178,2014-03-06,1874.18,1877.03,1881.93,3360450000.0,-0.12,1,3.2200000000000273,-0.3,-0.0971428571428571,-0.0005379393856071673,1.0411077994965505,-0.05166990256602622,0.7947687648902001,0.8433897515163754,0.8210262673280883
2179,2014-03-05,1874.05,1873.81,1876.53,3392990000.0,-0.3,1,28.08999999999992,0.47,-0.1271428571428572,-0.0017169491586011424,0.9585731014689346,-0.1791150988870915,1.0411077994965505,0.7947687648902001,0.8433897515163754
2180,2014-03-03,1857.68,1845.72,1857.68,3428220000.0,0.47,0,-13.720000000000027,0.52,-0.0142857142857143,-0.015104345999980883,0.8851492921061291,-1.7064179042657899,0.9585731014689346,1.0411077994965505,0.7947687648902001
2181,2014-02-28,1855.11,1859.44,1867.92,3917450000.0,0.52,1,5.150000000000091,-0.4499999999999999,0.0614285714285713,0.007405921854452629,1.010499232644922,0.7328973259156334,0.8851492921061291,0.9585731014689346,1.0411077994965505
2182,2014-02-27,1844.9,1854.29,1854.53,3547460000.0,-0.4499999999999999,0,9.129999999999882,0.27,0.0657142857142856,-0.0027734936580011047,0.9901977985385347,-0.28009491256136854,1.010499232644922,0.8851492921061291,0.9585731014689346
2183,2014-02-26,1845.79,1845.16,1852.65,3716730000.0,0.27,1,5.380000000000109,0.2299999999999999,0.0442857142857142,-0.004935878866371467,0.9164952166668019,-0.5385602430444478,0.9901977985385347,1.010499232644922,0.8851492921061291
2184,2014-02-20,1829.23,1839.78,1842.79,3404980000.0,0.2299999999999999,1,11.029999999999973,0.0,0.0885714285714285,-0.002919995344649685,0.8638870029422395,-0.33800662988385294,0.9164952166668019,0.9901977985385347,1.010499232644922
2185,2014-02-19,1838.9,1828.75,1847.5,3661570000.0,0.0,1,-9.88000000000011,-0.54,0.1057142857142856,-0.006013325902815549,0.8042417462188404,-0.7477012889578697,0.8638870029422395,0.9164952166668019,0.9901977985385347
2186,2014-02-14,1828.45,1838.63,1841.65,3114750000.0,-0.54,0,8.810000000000173,-0.4,0.0714285714285713,0.005388055724957663,0.7768391915521246,0.6935870104844128,0.8042417462188404,0.8638870029422395,0.9164952166668019
2187,2014-02-13,1814.81,1829.82,1830.25,3289510000.0,-0.4,0,10.069999999999936,0.01,-0.0528571428571429,-0.004803127717289278,0.7647681528604711,-0.6280501743337618,0.7768391915521246,0.8042417462188404,0.8638870029422395
2188,2014-02-11,1800.44,1819.75,1823.54,3699380000.0,0.01,1,22.730000000000015,-0.35,-0.1257142857142857,-0.005518472343635107,0.72999960193551,-0.755955527784332,0.7647681528604711,0.7768391915521246,0.8042417462188404
2189,2014-02-07,1776.01,1797.02,1798.03,3775990000.0,-0.35,1,23.58999999999992,-0.18,-0.1114285714285714,-0.012569391616197167,0.7075018840242213,-1.7765877236542955,0.72999960193551,0.7647681528604711,0.7768391915521246
2190,2014-02-06,1752.98,1773.43,1774.06,3825410000.0,-0.18,1,31.539999999999964,-0.4,-0.1757142857142857,-0.01321421292207998,0.8205265427872402,-1.610455266589271,0.7075018840242213,0.72999960193551,0.7647681528604711
2191,2014-02-03,1782.68,1741.89,1784.82,4726040000.0,-0.4,1,-40.68999999999983,-0.48,-0.2657142857142858,-0.017944793850837002,0.9182592320035651,-1.9542187244535465,0.8205265427872402,0.7075018840242213,0.72999960193551
2192,2014-01-31,1790.88,1782.58,1793.88,4059690000.0,-0.48,0,-11.600000000000136,0.37,-0.3342857142857143,0.023091022457499274,1.1061477452409887,2.087517020836,0.9182592320035651,0.8205265427872402,0.7075018840242213
2193,2014-01-30,1777.17,1794.18,1798.77,3547510000.0,0.37,1,19.99000000000001,-0.01,-0.2042857142857143,0.006486339966985497,1.4162293690569767,0.4580006677382033,1.1061477452409887,0.9182592320035651,0.8205265427872402
2194,2014-01-29,1790.15,1774.19,1790.15,3964020000.0,-0.01,0,-18.309999999999945,-0.64,-0.1485714285714286,-0.011204112306276147,1.3314585590417574,-0.8414916281239485,1.4162293690569767,1.1061477452409887,0.9182592320035651
2195,2014-01-28,1783.0,1792.5,1793.86,3437830000.0,-0.64,1,10.940000000000056,-0.08,-0.2414285714285715,0.010267312746313637,1.2947481223592427,0.7929969211003693,1.3314585590417574,1.4162293690569767,1.1061477452409887
2196,2014-01-27,1791.03,1781.56,1795.97,4045200000.0,-0.08,0,-46.8900000000001,-0.04,-0.2028571428571428,-0.006121908511444536,1.2718568517837139,-0.48133628425705877,1.2947481223592427,1.3314585590417574,1.4162293690569767
2197,2014-01-23,1842.29,1828.45,1842.29,3972250000.0,-0.04,1,-10.240000000000007,-0.55,-0.1828571428571428,0.02597922843507183,1.1876452110211857,2.187457011065942,1.2718568517837139,1.2947481223592427,1.3314585590417574
2198,2014-01-17,1844.22,1838.69,1846.04,3626120000.0,-0.55,0,-7.2000000000000455,-0.18,-0.2042857142857143,0.005584748122488176,1.5524769251088608,0.3597314737606532,1.1876452110211857,1.2718568517837139,1.2947481223592427
2199,2014-01-16,1847.98,1845.89,1847.98,3491310000.0,-0.18,1,7.009999999999991,0.02,-0.1614285714285714,0.003908184468428546,1.444743354921573,0.27051063810850334,1.5524769251088608,1.1876452110211857,1.2718568517837139
2200,2014-01-14,1821.35,1838.88,1839.26,3353270000.0,0.02,1,19.690000000000055,0.16,-0.2114285714285714,-0.0038048553678707566,1.3371627781278337,-0.2845469100776158,1.444743354921573,1.5524769251088608,1.1876452110211857
2201,2014-01-13,1841.26,1819.19,1843.44,3591350000.0,0.16,0,-23.169999999999845,-0.4,-0.1871428571428572,-0.010765343561008998,1.2322799428722497,-0.8736118463404252,1.3371627781278337,1.444743354921573,1.5524769251088608
2202,2014-01-10,1840.06,1842.36,1843.15,3335710000.0,-0.4,1,4.229999999999791,-0.11,-0.1528571428571428,0.012656011399368304,1.204240699224313,1.0509536347277095,1.2322799428722497,1.3371627781278337,1.444743354921573
2203,2014-01-09,1839.0,1838.13,1843.22,3581150000.0,-0.11,1,0.25,-0.31,-0.1571428571428572,-0.0022986079910382166,1.236824581916057,-0.18584753445612082,1.204240699224313,1.2322799428722497,1.3371627781278337
2204,2014-01-07,1828.7,1837.88,1840.09,3511750000.0,-0.31,0,5.910000000000082,-0.0199999999999999,-0.1957142857142857,-0.00013601704042450602,1.1369001021866207,-0.011963851543587863,1.236824581916057,1.204240699224313,1.2322799428722497
